ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.899,6.517,7.6303,-0.1963,6.088,7.6856,-0.6297,0.4709,0.9348,0.1278,-0.1822,0.1619,889.0,28.86,-8.7,-36.3,299.29,-38.37,1.46,3.1,1009.05,55.245,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,17,2015-08-25 14:32:43:035
0.0227,6.432,6.9755,-0.0607,6.3306,7.4893,-0.0063,0.0571,-0.7041,0.1278,-0.1822,0.1619,860.0,28.86,-8.7,-36.3,299.29,-38.37,1.46,3.1,1009.07,55.245,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,123,2015-08-25 14:32:43:141
0.6871,6.5386,8.6646,0.2822,6.2213,7.5753,0.4049,0.3172,1.0893,-0.1736,-0.2961,-0.0373,758.0,28.68,-8.7,-36.3,299.91,-40.21,0.46,3.1,1009.08,55.245,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,229,2015-08-25 14:32:43:247
0.7985,5.7497,9.1494,0.3474,6.344,7.4702,1.064,-0.0149,1.0843,0.245,-0.032,0.1854,758.0,28.02,-8.64,-36.72,298.35,-39.38,-2.13,3.1,1009.08,59.063,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,335,2015-08-25 14:32:43:353
-0.182,6.9252,7.1599,0.468,6.9625,6.8902,0.9493,-0.3449,0.2266,0.7819,-0.2684,0.0437,708.0,26.88,-8.64,-37.32,299.5,-40.31,-2.66,3.1,1009.08,59.063,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,441,2015-08-25 14:32:43:459
0.4034,7.8231,4.9081,0.2825,7.6111,6.1775,-0.5985,-0.0574,-1.2179,0.5902,0.0788,-0.147,708.0,25.62,-8.82,-37.86,304.13,-45.23,-3.89,3.1,1009.08,59.063,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,547,2015-08-25 14:32:43:565
0.8691,7.8997,3.3327,0.1574,7.6955,6.0766,0.7117,0.2042,-2.7438,-0.2823,-0.0756,0.0511,680.0,24.36,-9.48,-38.28,311.73,-50.91,-2.62,3.1,1009.04,58.658,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,653,2015-08-25 14:32:43:671
0.4561,6.098,7.5753,0.4877,6.4845,7.3406,-0.1801,-0.0824,1.2031,-1.3891,-0.5209,-0.1161,680.0,23.58,-10.56,-38.4,312.02,-51.7,-1.48,3.1,1009.04,58.658,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,759,2015-08-25 14:32:43:777
1.6963,5.934,6.7325,0.4877,6.4845,7.3406,-0.1801,-0.0824,1.2031,1.0994,-1.2069,-0.0043,661.0,23.4,-11.64,-38.28,300.6,-41.39,-3.8,3.1,1009.08,58.658,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,864,2015-08-25 14:32:43:882
0.8308,7.3011,7.2293,1.2064,6.7097,7.0495,-0.2798,0.0156,-0.4618,0.0213,-0.4623,-0.2653,480.0,23.28,-12.3,-38.22,296.06,-43.17,-9.71,3.1,1009.09,50.449,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,970,2015-08-25 14:32:43:988
0.6357,6.9216,6.5936,0.9435,7.0115,6.7911,-0.3042,-0.0779,-1.0666,0.0213,-0.4623,-0.2653,480.0,23.28,-12.3,-38.22,296.06,-43.17,-9.71,3.1,1009.09,50.449,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,1076,2015-08-25 14:32:44:094
-0.6967,5.6084,8.7736,1.0459,6.4246,7.3349,-1.3201,-0.3242,2.0037,-1.0173,-0.1971,-0.1662,443.0,23.04,-12.42,-38.22,300.13,-45.64,-7.91,3.1,1009.06,50.449,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,1182,2015-08-25 14:32:44:200
-0.1844,5.8239,9.3458,0.6717,5.8715,7.8259,-0.8561,-0.0476,1.5198,-0.718,0.7595,0.1065,443.0,22.08,-11.64,-38.64,297.48,-40.93,-8.12,3.1,1009.06,50.497,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,1288,2015-08-25 14:32:44:306
-1.2725,4.1276,11.2001,0.3987,5.1444,8.3395,-2.1489,-2.4796,2.8618,-0.7926,0.1374,-1.2059,575.0,20.94,-10.26,-39.24,300.31,-36.78,-4.91,3.1,1009.02,50.497,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,1394,2015-08-25 14:32:44:412
1.3767,5.5761,6.2321,0.2876,5.9381,7.7992,-0.0996,-0.2662,1.7681,0.8842,-0.278,-0.8458,590.0,19.92,-8.64,-40.02,300.31,-31.64,-2.74,3.1,1009.06,50.497,42.358986,-71.10883,,11.68984745871345,,,93.893555,,3 / 19,1500,2015-08-25 14:32:44:518
-0.0862,7.4484,5.5174,0.3227,6.5716,7.2718,0.2747,0.4697,-0.2377,0.2866,-0.1055,-0.1278,590.0,19.14,-6.54,-40.74,312.55,-37.27,-2.11,3.1,1009.06,50.497,42.359245,-71.10849,-125.81,11.68984745871345,,0.0,312.90323,,3 / 19,1606,2015-08-25 14:32:44:624
-0.5698,6.2453,7.0749,0.3439,6.7236,7.1306,-0.4612,0.0041,-0.0916,0.1449,-0.1843,-0.2035,526.0,19.08,-4.98,-41.16,318.09,-42.08,-2.54,3.1,1009.07,50.499,42.359245,-71.10849,-125.81,11.68984745871345,,0.0,312.90323,,3 / 19,1712,2015-08-25 14:32:44:730
-0.6117,6.5206,7.021,0.3439,6.7236,7.1306,-0.4612,0.0041,-0.0916,0.0874,-0.1598,-0.1459,526.0,19.2,-4.08,-41.34,319.51,-43.28,-2.76,3.1,1009.07,50.499,42.359245,-71.10849,-125.81,11.68984745871345,,0.0,312.90323,,4 / 19,1819,2015-08-25 14:32:44:837
